txn_id,src_account_id,dst_account_id,amount,timestamp,currency,channel,memo
T0046_A0151_A0231,A0151,A0231,500,2025-12-22T01:29:43.850526,CNY,ATM,转账
T0046_A0231_A0040,A0231,A0040,500,2025-12-22T01:28:40.850526,CNY,WEB,投资
T0047_A0210_A0260,A0210,A0260,10000,2025-12-21T23:58:36.850526,CNY,WEB,转账
T0047_A0260_A0241,A0260,A0241,10000,2025-12-21T23:57:43.850526,CNY,WEB,解冻
T0047_A0241_A0100,A0241,A0100,10000,2025-12-21T23:58:44.850526,CNY,ATM,转账
T0047_A0100_A0231,A0100,A0231,10000,2025-12-21T23:58:40.850526,CNY,ATM,解冻
T0048,A0050,A0301,5000,2025-12-22T00:46:19.850526,CNY,APP,投资
T0049,A0241,A0050,5000,2025-12-22T01:37:19.850526,CNY,APP,解冻
T0050,A0030,A0060,10000,2025-12-22T01:40:19.850526,CNY,WEB,保证金
T0051,A0041,A0050,20000,2025-12-22T00:01:19.850526,CNY,WEB,转账
T0052,A0090,A0010,5000,2025-12-22T00:02:19.850526,CNY,ATM,生活费
T0053,A0060,A0230,10000,2025-12-22T00:56:19.850526,CNY,ATM,投资
T0054_A0111_A0081,A0111,A0081,5000,2025-12-22T00:06:11.850526,CNY,ATM,转账
T0054_A0081_A0080,A0081,A0080,5000,2025-12-22T00:06:09.850526,CNY,APP,转账
T0054_A0080_A0031,A0080,A0031,5000,2025-12-22T00:04:50.850526,CNY,WEB,生活费
T0054_A0031_A0101,A0031,A0101,5000,2025-12-22T00:05:07.850526,CNY,WEB,生活费
T0055_A0110_A0190,A0110,A0190,5000,2025-12-22T01:56:10.850526,CNY,APP,保证金
T0055_A0190_A0130,A0190,A0130,5000,2025-12-22T01:55:38.850526,CNY,ATM,解冻
T0055_A0130_A0131,A0130,A0131,5000,2025-12-22T01:56:38.850526,CNY,APP,解冻
T0055_A0131_A0200,A0131,A0200,5000,2025-12-22T01:56:02.850526,CNY,APP,工资
T0056,A0111,A0141,10000,2025-12-22T01:02:19.850526,CNY,ATM,工资
T0057,A0141,A0111,5000,2025-12-22T00:07:19.850526,CNY,ATM,保证金
T0058_A0160_A0141,A0160,A0141,5000,2025-12-22T00:10:05.850526,CNY,WEB,生活费
T0058_A0141_A0081,A0141,A0081,5000,2025-12-22T00:09:01.850526,CNY,WEB,解冻
T0058_A0081_A0130,A0081,A0130,5000,2025-12-22T00:08:55.850526,CNY,APP,工资
T0058_A0130_A0240,A0130,A0240,5000,2025-12-22T00:10:15.850526,CNY,ATM,工资
T0059,A0221,A0050,1000,2025-12-22T00:09:19.850526,CNY,ATM,保证金
T0060_A0060_A0271,A0060,A0271,1000,2025-12-22T00:12:16.850526,CNY,APP,工资
T0060_A0271_A0280,A0271,A0280,1000,2025-12-22T00:10:26.850526,CNY,WEB,工资
T0060_A0280_A0250,A0280,A0250,1000,2025-12-22T00:12:02.850526,CNY,ATM,转账
T0060_A0250_A0261,A0250,A0261,1000,2025-12-22T00:10:47.850526,CNY,ATM,投资
T0061,A0240,A0050,2000,2025-12-22T02:13:19.850526,CNY,APP,工资
T0062,A0060,A0051,500,2025-12-22T01:14:19.850526,CNY,APP,生活费
T0063_A0221_A0260,A0221,A0260,20000,2025-12-22T02:20:36.850526,CNY,APP,解冻
T0063_A0260_A0210,A0260,A0210,20000,2025-12-22T02:21:07.850526,CNY,ATM,工资
T0063_A0210_A0050,A0210,A0050,20000,2025-12-22T02:20:44.850526,CNY,WEB,生活费
T0063_A0050_A0040,A0050,A0040,20000,2025-12-22T02:20:21.850526,CNY,APP,转账
T0064,A0131,A0261,500,2025-12-22T01:18:19.850526,CNY,APP,生活费
T0065,A0141,A0250,2000,2025-12-22T02:25:19.850526,CNY,ATM,投资
T0066,A0231,A0010,500,2025-12-22T02:28:19.850526,CNY,WEB,保证金
T0067,A0030,A0141,1000,2025-12-22T01:24:19.850526,CNY,APP,工资
T0068,A0141,A0270,1000,2025-12-22T02:34:19.850526,CNY,APP,保证金
T0069,A0240,A0241,2000,2025-12-22T00:19:19.850526,CNY,ATM,解冻
T0070_A0111_A0081,A0111,A0081,20000,2025-12-22T02:41:30.850526,CNY,WEB,投资
T0070_A0081_A0070,A0081,A0070,20000,2025-12-22T02:40:25.850526,CNY,APP,保证金
T0070_A0070_A0031,A0070,A0031,20000,2025-12-22T02:40:23.850526,CNY,APP,投资
T0070_A0031_A0151,A0031,A0151,20000,2025-12-22T02:41:45.850526,CNY,ATM,解冻
T0071,A0280,A0060,1000,2025-12-22T01:32:19.850526,CNY,WEB,保证金
T0072,A0240,A0080,5000,2025-12-22T00:22:19.850526,CNY,WEB,投资
T0073_A0210_A0190,A0210,A0190,1000,2025-12-22T01:36:32.850526,CNY,APP,生活费
T0073_A0190_A0150,A0190,A0150,1000,2025-12-22T01:37:30.850526,CNY,WEB,生活费
T0073_A0150_A0170,A0150,A0170,1000,2025-12-22T01:37:45.850526,CNY,APP,投资
T0073_A0170_A0070,A0170,A0070,1000,2025-12-22T01:38:11.850526,CNY,APP,工资
T0074_A0271_A0100,A0271,A0100,5000,2025-12-22T01:39:18.850526,CNY,APP,解冻
T0074_A0100_A0080,A0100,A0080,5000,2025-12-22T01:39:34.850526,CNY,APP,转账
T0074_A0080_A0111,A0080,A0111,5000,2025-12-22T01:38:55.850526,CNY,WEB,解冻
T0074_A0111_A0040,A0111,A0040,5000,2025-12-22T01:39:46.850526,CNY,WEB,转账
T0075,A0131,A0010,20000,2025-12-22T01:40:19.850526,CNY,ATM,生活费
T0076,A0060,A0241,10000,2025-12-22T02:58:19.850526,CNY,APP,生活费
T0077,A0060,A0280,1000,2025-12-22T01:44:19.850526,CNY,WEB,工资
T0078,A0190,A0050,1000,2025-12-22T03:04:19.850526,CNY,WEB,保证金
T0079,A0041,A0010,500,2025-12-22T03:07:19.850526,CNY,APP,解冻
T0080,A0230,A0210,5000,2025-12-22T00:30:19.850526,CNY,WEB,工资
T0081,A0140,A0231,1000,2025-12-22T01:52:19.850526,CNY,ATM,投资
T0082_A0060_A0081,A0060,A0081,10000,2025-12-22T00:34:06.850526,CNY,ATM,转账
T0082_A0081_A0240,A0081,A0240,10000,2025-12-22T00:32:48.850526,CNY,ATM,投资
T0082_A0240_A0300,A0240,A0300,10000,2025-12-22T00:33:17.850526,CNY,WEB,保证金
T0082_A0300_A0101,A0300,A0101,10000,2025-12-22T00:33:17.850526,CNY,WEB,工资
T0083,A0110,A0141,1000,2025-12-22T00:33:19.850526,CNY,ATM,保证金
T0084,A0060,A0081,500,2025-12-22T03:22:19.850526,CNY,ATM,生活费
T0085,A0060,A0231,2000,2025-12-22T02:00:19.850526,CNY,APP,转账
T0086,A0190,A0050,2000,2025-12-22T02:02:19.850526,CNY,WEB,解冻
T0087,A0220,A0050,20000,2025-12-22T03:31:19.850526,CNY,APP,保证金
T0088_A0271_A0070,A0271,A0070,2000,2025-12-22T02:08:09.850526,CNY,ATM,生活费
T0088_A0070_A0260,A0070,A0260,2000,2025-12-22T02:07:05.850526,CNY,APP,解冻
T0088_A0260_A0110,A0260,A0110,2000,2025-12-22T02:07:02.850526,CNY,APP,保证金
T0088_A0110_A0100,A0110,A0100,2000,2025-12-22T02:06:29.850526,CNY,APP,保证金
T0089,A0190,A0050,20000,2025-12-22T03:37:19.850526,CNY,APP,转账
T0090,A0060,A0231,2000,2025-12-22T00:40:19.850526,CNY,WEB,生活费
T0091,A0101,A0271,500,2025-12-22T02:12:19.850526,CNY,WEB,转账
T0092,A0040,A0070,1000,2025-12-22T03:46:19.850526,CNY,ATM,保证金
T0093,A0261,A0071,5000,2025-12-22T03:49:19.850526,CNY,ATM,工资
T0094,A0031,A0160,20000,2025-12-22T03:52:19.850526,CNY,WEB,投资
T0095,A0060,A0260,2000,2025-12-22T00:45:19.850526,CNY,ATM,转账
T0096,A0130,A0241,20000,2025-12-22T00:46:19.850526,CNY,APP,工资
T0097,A0280,A0010,1000,2025-12-22T00:47:19.850526,CNY,WEB,解冻
T0098,A0231,A0141,20000,2025-12-22T02:26:19.850526,CNY,APP,投资
T0099,A0141,A0200,500,2025-12-22T04:07:19.850526,CNY,APP,工资
T0100,A0141,A0141,10000,2025-12-22T00:50:19.850526,CNY,APP,工资
T0101,A0230,A0110,2000,2025-12-22T00:51:19.850526,CNY,APP,投资
T0102,A0141,A0190,2000,2025-12-22T00:52:19.850526,CNY,APP,工资
T0103,A0080,A0060,1000,2025-12-22T02:36:19.850526,CNY,WEB,投资
T0104,A0100,A0060,20000,2025-12-22T02:38:19.850526,CNY,ATM,保证金
T0105,A0271,A0241,500,2025-12-22T00:55:19.850526,CNY,ATM,投资
T0106,A0140,A0010,5000,2025-12-22T00:56:19.850526,CNY,APP,解冻
T0107,A0070,A0141,20000,2025-12-22T00:57:19.850526,CNY,WEB,投资
T0108,A0041,A0150,1000,2025-12-22T04:34:19.850526,CNY,WEB,保证金
T0109,A0211,A0010,10000,2025-12-22T04:37:19.850526,CNY,WEB,转账
T0110,A0031,A0180,10000,2025-12-22T02:50:19.850526,CNY,APP,解冻
T0111_A0231_A0071,A0231,A0071,500,2025-12-22T02:53:02.850526,CNY,ATM,转账
T0111_A0071_A0111,A0071,A0111,500,2025-12-22T02:53:03.850526,CNY,APP,投资
T0111_A0111_A0041,A0111,A0041,500,2025-12-22T02:52:48.850526,CNY,APP,保证金
T0111_A0041_A0180,A0041,A0180,500,2025-12-22T02:53:58.850526,CNY,WEB,投资
T0112,A0010,A0050,1000,2025-12-22T01:02:19.850526,CNY,WEB,投资
T0113_A0031_A0070,A0031,A0070,500,2025-12-22T02:57:34.850526,CNY,WEB,投资
T0113_A0070_A0190,A0070,A0190,500,2025-12-22T02:56:42.850526,CNY,APP,投资
T0113_A0190_A0241,A0190,A0241,500,2025-12-22T02:56:45.850526,CNY,ATM,生活费
T0113_A0241_A0211,A0241,A0211,500,2025-12-22T02:57:20.850526,CNY,ATM,工资
T0114_A0270_A0110,A0270,A0110,20000,2025-12-22T03:00:05.850526,CNY,APP,转账
T0114_A0110_A0131,A0110,A0131,20000,2025-12-22T02:59:01.850526,CNY,APP,生活费
T0114_A0131_A0280,A0131,A0280,20000,2025-12-22T02:59:30.850526,CNY,WEB,解冻
T0114_A0280_A0100,A0280,A0100,20000,2025-12-22T02:59:18.850526,CNY,WEB,转账
T0115,A0241,A0050,1000,2025-12-22T01:05:19.850526,CNY,WEB,保证金
T0116,A0111,A0261,10000,2025-12-22T01:06:19.850526,CNY,WEB,工资
T0117,A0060,A0240,20000,2025-12-22T05:01:19.850526,CNY,APP,生活费
T0118,A0141,A0151,1000,2025-12-22T03:06:19.850526,CNY,ATM,工资
T0119_A0221_A0110,A0221,A0110,1000,2025-12-22T05:09:12.850526,CNY,WEB,保证金
T0119_A0110_A0050,A0110,A0050,1000,2025-12-22T05:07:56.850526,CNY,WEB,解冻
T0119_A0050_A0041,A0050,A0041,1000,2025-12-22T05:08:38.850526,CNY,WEB,投资
T0119_A0041_A0151,A0041,A0151,1000,2025-12-22T05:07:30.850526,CNY,APP,投资
T0120,A0190,A0050,20000,2025-12-22T01:10:19.850526,CNY,APP,解冻
T0121,A0230,A0010,1000,2025-12-22T01:11:19.850526,CNY,WEB,保证金
T0122,A0271,A0140,500,2025-12-22T03:14:19.850526,CNY,WEB,解冻
T0123_A0230_A0210,A0230,A0210,20000,2025-12-22T03:18:10.850526,CNY,APP,解冻
T0123_A0210_A0051,A0210,A0051,20000,2025-12-22T03:17:07.850526,CNY,ATM,保证金
T0123_A0051_A0260,A0051,A0260,20000,2025-12-22T03:18:03.850526,CNY,ATM,保证金
T0123_A0260_A0261,A0260,A0261,20000,2025-12-22T03:17:38.850526,CNY,ATM,转账
T0124_A0050_A0041,A0050,A0041,10000,2025-12-22T03:19:16.850526,CNY,ATM,生活费
T0124_A0041_A0300,A0041,A0300,10000,2025-12-22T03:18:58.850526,CNY,WEB,生活费
T0124_A0300_A0200,A0300,A0200,10000,2025-12-22T03:20:06.850526,CNY,ATM,工资
T0124_A0200_A0250,A0200,A0250,10000,2025-12-22T03:19:23.850526,CNY,WEB,转账
T0125,A0250,A0060,500,2025-12-22T01:15:19.850526,CNY,WEB,转账
T0126,A0070,A0060,20000,2025-12-22T03:22:19.850526,CNY,APP,保证金
T0127_A0231_A0280,A0231,A0280,5000,2025-12-22T05:32:44.850526,CNY,ATM,投资
T0127_A0280_A0010,A0280,A0010,5000,2025-12-22T05:31:34.850526,CNY,APP,保证金
T0127_A0010_A0031,A0010,A0031,5000,2025-12-22T05:33:08.850526,CNY,WEB,投资
T0127_A0031_A0250,A0031,A0250,5000,2025-12-22T05:32:15.850526,CNY,ATM,工资
T0128,A0211,A0131,10000,2025-12-22T01:18:19.850526,CNY,APP,工资
T0129,A0020,A0141,5000,2025-12-22T03:28:19.850526,CNY,WEB,解冻
T0130_A0270_A0140,A0270,A0140,2000,2025-12-22T05:41:29.850526,CNY,ATM,生活费
T0130_A0140_A0300,A0140,A0300,2000,2025-12-22T05:41:37.850526,CNY,ATM,解冻
T0130_A0300_A0110,A0300,A0110,2000,2025-12-22T05:40:25.850526,CNY,APP,投资
T0130_A0110_A0160,A0110,A0160,2000,2025-12-22T05:41:36.850526,CNY,ATM,生活费
T0131,A0240,A0141,10000,2025-12-22T01:21:19.850526,CNY,APP,投资
T0132,A0030,A0010,500,2025-12-22T05:46:19.850526,CNY,WEB,投资
T0133,A0060,A0261,2000,2025-12-22T03:36:19.850526,CNY,WEB,转账
T0134,A0080,A0010,5000,2025-12-22T03:38:19.850526,CNY,ATM,投资
T0135,A0010,A0210,20000,2025-12-22T03:40:19.850526,CNY,APP,工资
T0136,A0060,A0170,20000,2025-12-22T01:26:19.850526,CNY,APP,生活费
T0137,A0180,A0131,1000,2025-12-22T06:01:19.850526,CNY,APP,生活费
T0138_A0261_A0211,A0261,A0211,10000,2025-12-22T01:30:05.850526,CNY,APP,投资
T0138_A0211_A0221,A0211,A0221,10000,2025-12-22T01:28:50.850526,CNY,WEB,工资
T0138_A0221_A0071,A0221,A0071,10000,2025-12-22T01:29:33.850526,CNY,ATM,工资
T0138_A0071_A0160,A0071,A0160,10000,2025-12-22T01:29:12.850526,CNY,ATM,投资
T0139,A0010,A0300,5000,2025-12-22T01:29:19.850526,CNY,APP,投资
T0140,A0031,A0070,20000,2025-12-22T01:30:19.850526,CNY,APP,投资
T0141,A0140,A0050,1000,2025-12-22T03:52:19.850526,CNY,ATM,保证金
T0142,A0040,A0141,2000,2025-12-22T03:54:19.850526,CNY,APP,解冻
T0143,A0211,A0050,5000,2025-12-22T01:33:19.850526,CNY,ATM,转账
T0144,A0060,A0221,20000,2025-12-22T06:22:19.850526,CNY,WEB,工资
T0145,A0010,A0241,500,2025-12-22T04:00:19.850526,CNY,APP,保证金
T0146_A0210_A0260,A0210,A0260,10000,2025-12-22T04:03:54.850526,CNY,ATM,生活费
T0146_A0260_A0241,A0260,A0241,10000,2025-12-22T04:02:26.850526,CNY,WEB,解冻
T0146_A0241_A0240,A0241,A0240,10000,2025-12-22T04:03:43.850526,CNY,ATM,保证金
T0146_A0240_A0220,A0240,A0220,10000,2025-12-22T04:03:12.850526,CNY,APP,生活费
T0147,A0240,A0231,10000,2025-12-22T06:31:19.850526,CNY,ATM,保证金
T0148_A0060_A0131,A0060,A0131,20000,2025-12-22T04:07:28.850526,CNY,APP,解冻
T0148_A0131_A0080,A0131,A0080,20000,2025-12-22T04:07:43.850526,CNY,ATM,工资
T0148_A0080_A0050,A0080,A0050,20000,2025-12-22T04:07:18.850526,CNY,APP,生活费
T0148_A0050_A0221,A0050,A0221,20000,2025-12-22T04:06:36.850526,CNY,APP,转账
T0149,A0090,A0060,10000,2025-12-22T04:08:19.850526,CNY,ATM,解冻
T0150_A0211_A0290,A0211,A0290,20000,2025-12-22T04:10:30.850526,CNY,ATM,转账
T0150_A0290_A0120,A0290,A0120,20000,2025-12-22T04:10:23.850526,CNY,WEB,转账
T0150_A0120_A0111,A0120,A0111,20000,2025-12-22T04:12:03.850526,CNY,ATM,工资
T0150_A0111_A0051,A0111,A0051,20000,2025-12-22T04:11:20.850526,CNY,WEB,工资
TM000,A0010,A0030,10000,2025-12-21T23:11:19.850526,CNY,APP,解冻
TM001,A0141,A0030,5000,2025-12-21T23:16:19.850526,CNY,APP,解冻
TM002,A0060,A0030,5000,2025-12-21T23:21:19.850526,CNY,APP,解冻
TM003,A0010,A0030,20000,2025-12-21T23:26:19.850526,CNY,APP,解冻
TM004,A0010,A0030,5000,2025-12-21T23:31:19.850526,CNY,APP,保证金
TM005,A0060,A0030,20000,2025-12-21T23:36:19.850526,CNY,APP,投资
TM006,A0060,A0030,20000,2025-12-21T23:41:19.850526,CNY,APP,解冻
TM007,A0141,A0030,10000,2025-12-21T23:46:19.850526,CNY,APP,保证金
TM008,A0141,A0030,20000,2025-12-21T23:51:19.850526,CNY,APP,保证金
TM009,A0050,A0030,20000,2025-12-21T23:56:19.850526,CNY,APP,投资
TM010,A0010,A0030,20000,2025-12-22T00:01:19.850526,CNY,APP,保证金
TM011,A0050,A0030,20000,2025-12-22T00:06:19.850526,CNY,APP,投资
TM012,A0010,A0030,10000,2025-12-22T00:11:19.850526,CNY,APP,保证金
TM013,A0050,A0030,10000,2025-12-22T00:16:19.850526,CNY,APP,投资
TM014,A0050,A0030,20000,2025-12-22T00:21:19.850526,CNY,APP,解冻
TM015,A0050,A0030,5000,2025-12-22T00:26:19.850526,CNY,APP,投资
TM016,A0050,A0030,10000,2025-12-22T00:31:19.850526,CNY,APP,投资
TM017,A0010,A0030,5000,2025-12-22T00:36:19.850526,CNY,APP,解冻
TM018,A0141,A0030,5000,2025-12-22T00:41:19.850526,CNY,APP,解冻
TM019,A0141,A0030,10000,2025-12-22T00:46:19.850526,CNY,APP,投资
TM020,A0010,A0030,10000,2025-12-22T00:51:19.850526,CNY,APP,投资
TM021,A0050,A0030,20000,2025-12-22T00:56:19.850526,CNY,APP,保证金
TM022,A0050,A0030,10000,2025-12-22T01:01:19.850526,CNY,APP,解冻
TM023,A0050,A0030,10000,2025-12-22T01:06:19.850526,CNY,APP,解冻
TM024,A0050,A0030,20000,2025-12-22T01:11:19.850526,CNY,APP,投资
TM025,A0010,A0030,20000,2025-12-22T01:16:19.850526,CNY,APP,投资
TM026,A0141,A0030,10000,2025-12-22T01:21:19.850526,CNY,APP,解冻
TM027,A0050,A0030,10000,2025-12-22T01:26:19.850526,CNY,APP,投资
TM028,A0010,A0030,10000,2025-12-22T01:31:19.850526,CNY,APP,保证金
TM029,A0050,A0030,5000,2025-12-22T01:36:19.850526,CNY,APP,保证金
